STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10055,Male,"Asian, non-Hispanic",1.4132,Fifth quintile (highest),Unit non-response,Missing
10056,Female,"White, non-Hispanic",-.7901,First quintile (lowest),"No degree, not enrolled",Unit non-response
10057,Female,Missing,Unit non-response,Unit non-response,Unit non-response,Yes
10058,Female,"Asian, non-Hispanic",.5511,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10059,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Yes
10060,Male,"Hispanic, race specified",-.0058,Third quintile,"No degree, not enrolled",Missing
10061,Male,"Asian, non-Hispanic",1.165,Fifth quintile (highest),"No degree, enrolled at a 4-year",Don't know
10062,Male,"More than one race, non-Hispanic",-.7022,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10063,Male,"Hispanic, race specified",-.6763,Second quintile,"No degree, enrolled at less-than-4-year",Unit non-response
10064,Female,"White, non-Hispanic",-.1112,Third quintile,"No degree, enrolled at a 4-year",Yes
10065,Female,"White, non-Hispanic",-.5381,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10066,Male,"White, non-Hispanic",-.3694,Second quintile,Unit non-response,Yes
10067,Male,"Asian, non-Hispanic",-1.7526,First quintile (lowest),Attained associate's degree,Item legitimate skip/NA
10068,Female,"White, non-Hispanic",-.0872,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10069,Male,"Asian, non-Hispanic",1.6587,Fifth quintile (highest),Unit non-response,No
10070,Male,"White, non-Hispanic",2.0218,Fifth quintile (highest),Unit non-response,Yes
10071,Female,"White, non-Hispanic",-.2749,Third quintile,Unit non-response,Item legitimate skip/NA
10072,Female,"White, non-Hispanic",-.0998,Third quintile,"No degree, enrolled at less-than-4-year",Yes
10074,Female,"More than one race, non-Hispanic",-.2813,Third quintile,"No degree, not enrolled",Unit non-response
10075,Female,"White, non-Hispanic",-.231,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10076,Male,Missing,Unit non-response,Unit non-response,Item legitimate skip/NA,Unit non-response
10077,Female,"White, non-Hispanic",-.5803,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10078,Male,"Black/African-American, non-Hispanic",2.1586,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10079,Female,"More than one race, non-Hispanic",.0865,Fourth quintile,Unit non-response,Item legitimate skip/NA
10080,Female,"Black/African-American, non-Hispanic",.2028,Fourth quintile,"No degree, not enrolled",Yes
10081,Female,Missing,Unit non-response,Unit non-response,Unit non-response,Unit non-response
10082,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Unit non-response
10084,Male,"White, non-Hispanic",.0884,Fourth quintile,Attained associate's degree,Yes
10085,Male,"White, non-Hispanic",-.2902,Third quintile,Item legitimate skip/NA,Unit non-response
10086,Female,"Asian, non-Hispanic",-.0996,Third quintile,"No degree, enrolled at less-than-4-year",Item not administered: abbreviated interview
10087,Male,"More than one race, non-Hispanic",-.9782,First quintile (lowest),"No degree, not enrolled",Yes
10088,Female,"More than one race, non-Hispanic",.3647,Fourth quintile,Unit non-response,Yes
10089,Male,"Black/African-American, non-Hispanic",.984,Fifth quintile (highest),Unit non-response,Don't know
10090,Female,"More than one race, non-Hispanic",-.0322,Third quintile,Attained associate's degree,Yes
10091,Male,"Hispanic, race specified",-.7627,First quintile (lowest),Unit non-response,No
10092,Male,"White, non-Hispanic",-.6288,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10093,Male,"White, non-Hispanic",-.1513,Third quintile,"No degree, enrolled at a 4-year",No
10094,Male,"White, non-Hispanic",1.7567,Fifth quintile (highest),"No degree, enrolled at a 4-year",Don't know
10095,Female,"More than one race, non-Hispanic",.122,Fourth quintile,Attained certificate,Yes
10096,Female,"Black/African-American, non-Hispanic",-.3442,Second quintile,"No degree, enrolled at a 4-year",Yes
10097,Female,"Hispanic, race specified",.9349,Fifth quintile (highest),Attained associate's degree,Item not administered: abbreviated interview
10099,Female,"White, non-Hispanic",1.4352,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10100,Female,"White, non-Hispanic",-.1266,Third quintile,"No degree, not enrolled",No
10101,Female,"White, non-Hispanic",-.1066,Third quintile,Item legitimate skip/NA,Unit non-response
10102,Male,"Black/African-American, non-Hispanic",.9312,Fifth quintile (highest),Unit non-response,No
10103,Male,"Hispanic, race specified",Unit non-response,Unit non-response,Item legitimate skip/NA,Unit non-response
10104,Male,"White, non-Hispanic",.034,Third quintile,Unit non-response,Unit non-response
10105,Female,"White, non-Hispanic",1.0498,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10106,Male,"Black/African-American, non-Hispanic",-.4907,Second quintile,"No degree, enrolled at a 4-year",Item legitimate skip/NA
10107,Female,"Black/African-American, non-Hispanic",1.2984,Fifth quintile (highest),Unit non-response,Yes
10108,Female,"More than one race, non-Hispanic",-.4024,Second quintile,Unit non-response,Yes
10109,Female,"More than one race, non-Hispanic",.0876,Fourth quintile,Item legitimate skip/NA,Item legitimate skip/NA
10110,Female,"White, non-Hispanic",.5598,Fifth quintile (highest),"No degree, enrolled at a 4-year",Don't know
10111,Male,"White, non-Hispanic",-.6659,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10112,Male,"Asian, non-Hispanic",1.4591,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10113,Male,"Hispanic, race specified",-.8455,First quintile (lowest),"No degree, not enrolled",No
10114,Male,"White, non-Hispanic",-.8048999999999999,First quintile (lowest),Item legitimate skip/NA,Item legitimate skip/NA
10115,Male,"White, non-Hispanic",-.0649,Third quintile,Unit non-response,Unit non-response
10116,Male,"Hispanic, race specified",-.4728,Second quintile,Unit non-response,Missing
10117,Female,"White, non-Hispanic",.2802,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10118,Male,"Black/African-American, non-Hispanic",.215,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10119,Male,"White, non-Hispanic",-1.0862,First quintile (lowest),Unit non-response,Item legitimate skip/NA
10120,Male,"Hispanic, race specified",-.7924,First quintile (lowest),Unit non-response,No
10121,Male,"More than one race, non-Hispanic",-.7549,First quintile (lowest),Unit non-response,Item legitimate skip/NA
10122,Female,"Asian, non-Hispanic",.2871,Fourth quintile,Missing,Unit non-response
10123,Male,"White, non-Hispanic",Unit non-response,Unit non-response,"No degree, not enrolled",Yes
10124,Female,"White, non-Hispanic",.3555,Fourth quintile,Item legitimate skip/NA,Don't know
10126,Male,"White, non-Hispanic",.3709,Fourth quintile,Unit non-response,Item legitimate skip/NA
10127,Female,"Black/African-American, non-Hispanic",-.4293,Second quintile,"No degree, not enrolled",Yes
10128,Male,"Asian, non-Hispanic",.2533,Fourth quintile,"No degree, not enrolled",Yes
10129,Male,"More than one race, non-Hispanic",.2807,Fourth quintile,"No degree, enrolled at less-than-4-year",No
10130,Female,"White, non-Hispanic",-.7751,First quintile (lowest),Unit non-response,Don't know
10131,Male,"Hispanic, race specified",.5592,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10132,Female,"White, non-Hispanic",.3202,Fourth quintile,"No degree, enrolled at a 4-year",Don't know
10133,Male,"Hispanic, race specified",-1.1259,First quintile (lowest),Unit non-response,Item legitimate skip/NA
10135,Male,"White, non-Hispanic",.2157,Fourth quintile,Unit non-response,Unit non-response
10136,Female,"White, non-Hispanic",-.2589,Third quintile,"No degree, not enrolled",Item legitimate skip/NA
10137,Male,"White, non-Hispanic",-.4726,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10138,Male,"Black/African-American, non-Hispanic",-.1636,Third quintile,"No degree, enrolled at a 4-year",Yes
10139,Male,"White, non-Hispanic",-.0593,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10140,Female,"Hispanic, race specified",-.6665,Second quintile,Unit non-response,Unit non-response
10141,Male,"Black/African-American, non-Hispanic",-.6333,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10142,Male,"Hispanic, no race specified",-.9297,First quintile (lowest),Unit non-response,Unit non-response
10143,Male,"Asian, non-Hispanic",1.0303,Fifth quintile (highest),"No degree, enrolled at less-than-4-year",Yes
10145,Male,"More than one race, non-Hispanic",.0676,Fourth quintile,"No degree, not enrolled",Unit non-response
10146,Female,"More than one race, non-Hispanic",.1079,Fourth quintile,"No degree, not enrolled",Don't know
10147,Male,"White, non-Hispanic",-.2751,Third quintile,"No degree, not enrolled",Item legitimate skip/NA
10148,Male,"Hispanic, race specified",-.7937,First quintile (lowest),Unit non-response,Unit non-response
10149,Male,"White, non-Hispanic",.101,Fourth quintile,Item legitimate skip/NA,Unit non-response
10150,Male,"White, non-Hispanic",.5366,Fourth quintile,Unit non-response,Unit non-response
10151,Female,"White, non-Hispanic",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10153,Male,"White, non-Hispanic",1.1111,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10154,Male,"White, non-Hispanic",.2565,Fourth quintile,Item legitimate skip/NA,Item legitimate skip/NA
10155,Male,"Hispanic, race specified",-.9271,First quintile (lowest),"No degree, enrolled at a 4-year",Yes
10156,Male,"White, non-Hispanic",1.9004,Fifth quintile (highest),Item legitimate skip/NA,Don't know
10158,Male,"White, non-Hispanic",.9834000000000001,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10159,Female,"White, non-Hispanic",.0489,Third quintile,"No degree, not enrolled",Unit non-response
10160,Female,"White, non-Hispanic",.1032,Fourth quintile,"No degree, not enrolled",Yes
10161,Male,"White, non-Hispanic",-.8837,First quintile (lowest),"No degree, enrolled at a 4-year",Item legitimate skip/NA
10162,Male,"Hispanic, race specified",-.9416,First quintile (lowest),"No degree, enrolled at less-than-4-year",Item legitimate skip/NA
10163,Male,"Hispanic, race specified",-.0505,Third quintile,"No degree, enrolled at less-than-4-year",Item legitimate skip/NA
10164,Male,"Asian, non-Hispanic",1.8024,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10165,Male,Missing,Unit non-response,Unit non-response,"No degree, enrolled at less-than-4-year",Unit non-response
10166,Male,"White, non-Hispanic",1.0753,Fifth quintile (highest),Attained associate's degree,No
10167,Male,"White, non-Hispanic",.3253,Fourth quintile,"No degree, enrolled at less-than-4-year",Unit non-response
10168,Male,"White, non-Hispanic",.756,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10169,Male,"White, non-Hispanic",.1516,Fourth quintile,"No degree, not enrolled",No
10170,Male,"Asian, non-Hispanic",.3952,Fourth quintile,"No degree, enrolled at a 4-year",No
10171,Female,"White, non-Hispanic",.8110000000000001,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10172,Female,"White, non-Hispanic",-1.3184,First quintile (lowest),Unit non-response,Item legitimate skip/NA
10173,Female,"White, non-Hispanic",2.2775,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10175,Male,"Asian, non-Hispanic",.1268,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10176,Female,"White, non-Hispanic",-.487,Second quintile,Unit non-response,Item legitimate skip/NA
10177,Male,"White, non-Hispanic",.0301,Third quintile,Unit non-response,Unit non-response
10178,Female,"White, non-Hispanic",.4133,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10179,Female,"Asian, non-Hispanic",Unit non-response,Unit non-response,Unit non-response,No
10180,Female,"More than one race, non-Hispanic",.9223,Fifth quintile (highest),"No degree, enrolled at a 4-year",Item legitimate skip/NA
10181,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Unit non-response
10182,Male,"White, non-Hispanic",1.3703,Fifth quintile (highest),Unit non-response,Unit non-response
10183,Female,"White, non-Hispanic",.1878,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10184,Male,"White, non-Hispanic",.0462,Third quintile,"No degree, enrolled at less-than-4-year",Yes
10185,Male,"Hispanic, no race specified",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10186,Female,"Asian, non-Hispanic",Unit non-response,Unit non-response,Item legitimate skip/NA,Item legitimate skip/NA
10187,Female,"More than one race, non-Hispanic",.7085,Fifth quintile (highest),Unit non-response,Don't know
10189,Female,"Asian, non-Hispanic",Unit non-response,Unit non-response,"No degree, enrolled at a 4-year",Yes
10190,Male,"White, non-Hispanic",.1626,Fourth quintile,Unit non-response,Item legitimate skip/NA
10191,Female,"Amer. Indian/Alaska Native, non-Hispanic",-.281,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10192,Male,"Native Hawaiian/Pacific Islander, non-Hispanic",.0027,Third quintile,"No degree, enrolled at a 4-year",Yes
10193,Female,"White, non-Hispanic",1.0269,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10194,Male,"White, non-Hispanic",-.0327,Third quintile,"No degree, enrolled at a 4-year",No
10195,Male,"More than one race, non-Hispanic",1.0087,Fifth quintile (highest),"No degree, not enrolled",Yes
10196,Female,Missing,Unit non-response,Unit non-response,"No degree, enrolled at a 4-year",Item legitimate skip/NA
10197,Male,"Asian, non-Hispanic",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10199,Male,"Hispanic, race specified",.1172,Fourth quintile,Item legitimate skip/NA,Item legitimate skip/NA
10200,Male,"White, non-Hispanic",-.1942,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10201,Female,"White, non-Hispanic",-.29,Third quintile,Unit non-response,Unit non-response
10202,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Unit non-response
10203,Male,"Asian, non-Hispanic",.0776,Fourth quintile,Unit non-response,Don't know
10204,Male,"Hispanic, race specified",Unit non-response,Unit non-response,Item legitimate skip/NA,Item not administered: abbreviated interview
10205,Female,"White, non-Hispanic",.5788,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10206,Female,"White, non-Hispanic",.6767,Fifth quintile (highest),Unit non-response,Item not administered: abbreviated interview
10207,Male,"Amer. Indian/Alaska Native, non-Hispanic",-.4381,Second quintile,Unit non-response,Yes
10208,Male,"White, non-Hispanic",-.2391,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10209,Male,"Hispanic, race specified",-.3711,Second quintile,Unit non-response,Item legitimate skip/NA
10210,Male,"Hispanic, race specified",2.0292,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10211,Female,"White, non-Hispanic",1.0961,Fifth quintile (highest),"No degree, not enrolled",Yes
10212,Male,"White, non-Hispanic",1.9172,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10213,Female,"White, non-Hispanic",.879,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10214,Male,"More than one race, non-Hispanic",-.5442,Second quintile,"No degree, enrolled at less-than-4-year",Yes
10215,Male,"More than one race, non-Hispanic",-.6203,Second quintile,Unit non-response,Unit non-response
10216,Male,"White, non-Hispanic",.1295,Fourth quintile,"No degree, enrolled at less-than-4-year",Don't know
10217,Female,"Hispanic, race specified",Unit non-response,Unit non-response,"No degree, enrolled at a 4-year",Yes
10218,Male,"White, non-Hispanic",-.1277,Third quintile,Unit non-response,Yes
10219,Male,"White, non-Hispanic",.4431,Fourth quintile,"No degree, enrolled at less-than-4-year",Yes
10220,Male,"White, non-Hispanic",-.9952,First quintile (lowest),"No degree, enrolled at less-than-4-year",No
10221,Male,"More than one race, non-Hispanic",.1782,Fourth quintile,"No degree, not enrolled",Unit non-response
10222,Male,"Asian, non-Hispanic",-.5349,Second quintile,Unit non-response,Unit non-response
10223,Female,"White, non-Hispanic",.2131,Fourth quintile,"No degree, enrolled at a 4-year",Yes
10224,Male,"White, non-Hispanic",.5769,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10226,Female,"Amer. Indian/Alaska Native, non-Hispanic",.8994,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10227,Female,"Black/African-American, non-Hispanic",.2531,Fourth quintile,"No degree, enrolled at a 4-year",Don't know
10228,Female,"White, non-Hispanic",-.5007,Second quintile,"No degree, enrolled at less-than-4-year",Unit non-response
10229,Female,"White, non-Hispanic",1.3994,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10230,Male,"Hispanic, race specified",.7785,Fifth quintile (highest),Item legitimate skip/NA,Item legitimate skip/NA
10231,Female,"Hispanic, no race specified",Unit non-response,Unit non-response,"No degree, enrolled at a 4-year",Unit non-response
10232,Male,"White, non-Hispanic",-1.3419,First quintile (lowest),"No degree, enrolled at a 4-year",Yes
10233,Male,"White, non-Hispanic",1.5235,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10234,Female,"Black/African-American, non-Hispanic",.8559,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10235,Female,"White, non-Hispanic",-.2312,Third quintile,"No degree, not enrolled",Item legitimate skip/NA
10236,Male,"White, non-Hispanic",-.4813,Second quintile,Attained certificate,Yes
10237,Male,Missing,Unit non-response,Unit non-response,Unit non-response,Yes
10238,Male,"White, non-Hispanic",.6733,Fifth quintile (highest),Unit non-response,No
10239,Female,"Hispanic, race specified",-.5089,Second quintile,"No degree, enrolled at less-than-4-year",Item not administered: abbreviated interview
10240,Male,"Hispanic, race specified",-.1403,Third quintile,Unit non-response,No
10241,Male,"White, non-Hispanic",.8973,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10242,Female,"Hispanic, race specified",-.401,Second quintile,Unit non-response,Unit non-response
10246,Female,"Hispanic, race specified",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10247,Male,"White, non-Hispanic",-.2066,Third quintile,"No degree, enrolled at a 4-year",Yes
10248,Female,"Hispanic, race specified",-1.0134,First quintile (lowest),Unit non-response,Item legitimate skip/NA
10249,Male,"More than one race, non-Hispanic",.7983,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10250,Male,"White, non-Hispanic",.1271,Fourth quintile,Unit non-response,Unit non-response
10251,Female,"Hispanic, race specified",-.0643,Third quintile,"No degree, enrolled at a 4-year",No
10252,Female,"More than one race, non-Hispanic",.6195000000000001,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10253,Male,"Black/African-American, non-Hispanic",1.2556,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10254,Female,"Hispanic, race specified",.6675,Fifth quintile (highest),"No degree, enrolled at less-than-4-year",No
10256,Female,"Black/African-American, non-Hispanic",.4329,Fourth quintile,"No degree, enrolled at a 4-year",Item not administered: abbreviated interview
10257,Female,"White, non-Hispanic",.5718,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10258,Male,"White, non-Hispanic",.0027,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10259,Female,"White, non-Hispanic",.0839,Fourth quintile,"No degree, enrolled at a 4-year",Unit non-response
10260,Female,"White, non-Hispanic",1.0476,Fifth quintile (highest),Attained certificate,Missing
10261,Female,"More than one race, non-Hispanic",-.1181,Third quintile,Unit non-response,Unit non-response
10263,Male,"Hispanic, race specified",-1.2992,First quintile (lowest),Item legitimate skip/NA,Unit non-response
10264,Female,"Asian, non-Hispanic",Unit non-response,Unit non-response,"No degree, enrolled at a 4-year",Yes
10265,Female,"White, non-Hispanic",-.0714,Third quintile,"No degree, not enrolled",Item legitimate skip/NA
10266,Female,"White, non-Hispanic",1.6415,Fifth quintile (highest),"No degree, enrolled at a 4-year",Don't know
10267,Male,"Black/African-American, non-Hispanic",-.317,Third quintile,Unit non-response,Item legitimate skip/NA
10268,Female,Missing,Unit non-response,Unit non-response,"No degree, not enrolled",Item legitimate skip/NA
10270,Male,"Black/African-American, non-Hispanic",Unit non-response,Unit non-response,Unit non-response,Unit non-response
10271,Female,"White, non-Hispanic",1.6922,Fifth quintile (highest),Unit non-response,Unit non-response
10272,Male,"White, non-Hispanic",1.0189,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10273,Male,"White, non-Hispanic",1.3209,Fifth quintile (highest),"No degree, enrolled at less-than-4-year",No
10274,Female,"White, non-Hispanic",.3842,Fourth quintile,"No degree, enrolled at a 4-year",No
10275,Male,"Black/African-American, non-Hispanic",.0885,Fourth quintile,"No degree, enrolled at a 4-year",No
10277,Male,"Black/African-American, non-Hispanic",Unit non-response,Unit non-response,"No degree, enrolled at a 4-year",Yes
10278,Male,"Hispanic, race specified",-.6849,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10280,Male,"More than one race, non-Hispanic",1.4259,Fifth quintile (highest),"No degree, enrolled at a 4-year",Yes
10281,Female,"White, non-Hispanic",-1.1012,First quintile (lowest),Item legitimate skip/NA,Item legitimate skip/NA
10282,Female,"White, non-Hispanic",.3877,Fourth quintile,Item legitimate skip/NA,No
10283,Female,"More than one race, non-Hispanic",.3474,Fourth quintile,"No degree, enrolled at less-than-4-year",Item legitimate skip/NA
10284,Female,"Hispanic, no race specified",-.6014,Second quintile,"No degree, enrolled at a 4-year",Item not administered: abbreviated interview
10285,Male,"Native Hawaiian/Pacific Islander, non-Hispanic",-.2233,Third quintile,Item legitimate skip/NA,Item legitimate skip/NA
10286,Male,"White, non-Hispanic",1.1463,Fifth quintile (highest),"No degree, enrolled at less-than-4-year",No
10287,Female,"Hispanic, race specified",-.1576,Third quintile,"No degree, enrolled at less-than-4-year",Item not administered: abbreviated interview
10288,Female,"White, non-Hispanic",-.7426,First quintile (lowest),Attained associate's degree,Yes
10290,Female,"Black/African-American, non-Hispanic",1.0467,Fifth quintile (highest),"No degree, enrolled at a 4-year",Item not administered: abbreviated interview
10291,Female,"White, non-Hispanic",.4976,Fourth quintile,Unit non-response,Unit non-response
10293,Male,"Black/African-American, non-Hispanic",.2201,Fourth quintile,Item legitimate skip/NA,Unit non-response
10294,Male,"White, non-Hispanic",.5518,Fifth quintile (highest),Item legitimate skip/NA,Item legitimate skip/NA
10297,Female,"White, non-Hispanic",1.0708,Fifth quintile (highest),"No degree, enrolled at a 4-year",No
10298,Male,Missing,Unit non-response,Unit non-response,Item legitimate skip/NA,Unit non-response
10299,Female,"Asian, non-Hispanic",-.452,Second quintile,"No degree, enrolled at less-than-4-year",Item legitimate skip/NA
10300,Female,"White, non-Hispanic",-.6231,Second quintile,Unit non-response,Unit non-response
10301,Male,"White, non-Hispanic",.257,Fourth quintile,"No degree, not enrolled",Item legitimate skip/NA
10302,Male,"Black/African-American, non-Hispanic",.1653,Fourth quintile,"No degree, enrolled at a 4-year",No
10303,Male,"Asian, non-Hispanic",Unit non-response,Unit non-response,"No degree, enrolled at less-than-4-year",Unit non-response
10304,Male,"Hispanic, race specified",1.0639,Fifth quintile (highest),"No degree, not enrolled",Unit non-response
10305,Female,"Hispanic, race specified",-1.0282,First quintile (lowest),"No degree, enrolled at less-than-4-year",Item legitimate skip/NA
10306,Female,"Hispanic, race specified",-1.4015,First quintile (lowest),Unit non-response,Item legitimate skip/NA
10307,Male,"White, non-Hispanic",-.5600000000000001,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
10308,Male,"Black/African-American, non-Hispanic",-.4475,Second quintile,Item legitimate skip/NA,Item legitimate skip/NA
